year,geo_name,geo,diabetes,physical_inactivity
2016,Autauga County,05000US01001,0.109,0.287
2016,"Baldwin County, AL",05000US01003,0.109,0.252
2015,"Baldwin County, AL",05000US01003,0.115,0.252
2015,Barbour County,05000US01005,0.148,0.323
2016,Barbour County,05000US01005,0.153,0.329
2015,Bibb County,05000US01007,0.127,0.332
2016,Bibb County,05000US01007,0.125,0.332
2016,Blount County,05000US01009,0.117,0.285
2015,Blount County,05000US01009,0.132,0.298
2016,Bullock County,05000US01011,0.173,0.331
2015,Bullock County,05000US01011,0.176,0.328
2015,Butler County,05000US01013,0.161,0.373
2016,Butler County,05000US01013,0.162,0.344
2016,"Calhoun County, AL",05000US01015,0.126,0.336
2015,"Calhoun County, AL",05000US01015,0.132,0.332
2016,Chambers County,05000US01017,0.153,0.348
2015,Chambers County,05000US01017,0.157,0.353
2016,Cherokee County,05000US01019,0.125,0.310
2015,Cherokee County,05000US01019,0.137,0.298
2016,Chilton County,05000US01021,0.118,0.320
2015,Chilton County,05000US01021,0.132,0.318
2016,Choctaw County,05000US01023,0.157,0.338
2015,Choctaw County,05000US01023,0.174,0.348
2016,Clarke County,05000US01025,0.155,0.302
2015,Clarke County,05000US01025,0.152,0.310
2016,Clay County,05000US01027,0.135,0.362
2015,Clay County,05000US01027,0.149,0.376
2015,Cleburne County,05000US01029,0.128,0.341
2016,Cleburne County,05000US01029,0.110,0.332
2016,Coffee County,05000US01031,0.123,0.294
2015,Coffee County,05000US01031,0.130,0.297
2016,Colbert County,05000US01033,0.134,0.297
2015,Colbert County,05000US01033,0.149,0.319
2015,Conecuh County,05000US01035,0.185,0.354
2016,Conecuh County,05000US01035,0.185,0.335
2015,Coosa County,05000US01037,0.162,0.319
2016,Coosa County,05000US01037,0.156,0.308
2015,Covington County,05000US01039,0.138,0.375
2016,Covington County,05000US01039,0.129,0.355
2015,Crenshaw County,05000US01041,0.159,0.323
2016,Crenshaw County,05000US01041,0.138,0.316
2016,Cullman County,05000US01043,0.115,0.284
2015,Cullman County,05000US01043,0.134,0.308
2015,Dale County,05000US01045,0.145,0.305
2016,Dale County,05000US01045,0.120,0.278
2016,Dallas County,05000US01047,0.190,0.342
2015,Dallas County,05000US01047,0.164,0.332
2015,DeKalb County,05000US01049,0.136,0.294
2016,DeKalb County,05000US01049,0.115,0.324
2015,Elmore County,05000US01051,0.133,0.305
2016,Elmore County,05000US01051,0.105,0.297
2016,Escambia County,05000US01053,0.154,0.334
2015,Escambia County,05000US01053,0.134,0.374
2016,"Etowah County, AL",05000US01055,0.130,0.325
2015,"Etowah County, AL",05000US01055,0.149,0.322
2015,Fayette County,05000US01057,0.176,0.306
2016,Fayette County,05000US01057,0.134,0.305
2015,Franklin County,05000US01059,0.128,0.334
2016,Franklin County,05000US01059,0.123,0.348
2015,Geneva County,05000US01061,0.134,0.313
2016,Geneva County,05000US01061,0.131,0.305
2015,Greene County,05000US01063,0.188,0.329
2016,Greene County,05000US01063,0.227,0.331
2016,Hale County,05000US01065,0.174,0.353
2015,Hale County,05000US01065,0.149,0.346
2015,Henry County,05000US01067,0.147,0.298
2016,Henry County,05000US01067,0.140,0.288
2015,"Houston County, AL",05000US01069,0.135,0.301
2016,"Houston County, AL",05000US01069,0.129,0.305
2015,Jackson County,05000US01071,0.148,0.329
2016,Jackson County,05000US01071,0.125,0.320
2015,"Jefferson County, AL",05000US01073,0.125,0.277
2016,"Jefferson County, AL",05000US01073,0.125,0.283
2015,Lamar County,05000US01075,0.150,0.355
2016,Lamar County,05000US01075,0.134,0.331
2015,Lauderdale County,05000US01077,0.123,0.295
2016,Lauderdale County,05000US01077,0.116,0.296
2016,Lawrence County,05000US01079,0.124,0.349
2015,Lawrence County,05000US01079,0.155,0.361
2016,"Lee County, AL",05000US01081,0.096,0.232
2015,"Lee County, AL",05000US01081,0.097,0.241
2016,Limestone County,05000US01083,0.108,0.316
2015,Limestone County,05000US01083,0.117,0.310
2016,Lowndes County,05000US01085,0.192,0.308
2015,Lowndes County,05000US01085,0.216,0.321
2015,Macon County,05000US01087,0.170,0.320
2016,Macon County,05000US01087,0.182,0.311
2016,"Madison County, AL",05000US01089,0.106,0.246
2015,"Madison County, AL",05000US01089,0.110,0.246
2016,Marengo County,05000US01091,0.176,0.347
2015,Marengo County,05000US01091,0.178,0.338
2015,Marion County,05000US01093,0.149,0.366
2016,Marion County,05000US01093,0.130,0.357
2015,Marshall County,05000US01095,0.138,0.320
2016,Marshall County,05000US01095,0.115,0.316
2015,"Mobile County, AL",05000US01097,0.129,0.289
2016,"Mobile County, AL",05000US01097,0.136,0.296
2015,Monroe County,05000US01099,0.160,0.339
2016,Monroe County,05000US01099,0.164,0.321
2016,"Montgomery County, AL",05000US01101,0.135,0.280
2015,"Montgomery County, AL",05000US01101,0.140,0.281
2015,"Morgan County, AL",05000US01103,0.127,0.288
2016,"Morgan County, AL",05000US01103,0.114,0.305
2016,Perry County,05000US01105,0.198,0.326
2015,Perry County,05000US01105,0.176,0.336
2015,Pickens County,05000US01107,0.163,0.317
2016,Pickens County,05000US01107,0.155,0.336
2016,Pike County,05000US01109,0.119,0.285
2015,Pike County,05000US01109,0.149,0.294
2016,Randolph County,05000US01111,0.136,0.306
2015,Randolph County,05000US01111,0.149,0.338
2016,Russell County,05000US01113,0.129,0.311
2015,Russell County,05000US01113,0.140,0.326
2016,St. Clair County,05000US01115,0.107,0.286
2015,St. Clair County,05000US01115,0.123,0.291
2016,"Shelby County, AL",05000US01117,0.091,0.236
2015,"Shelby County, AL",05000US01117,0.085,0.222
2015,Sumter County,05000US01119,0.164,0.312
2016,Sumter County,05000US01119,0.193,0.312
2016,Talladega County,05000US01121,0.145,0.341
2015,Talladega County,05000US01121,0.132,0.367
2015,Tallapoosa County,05000US01123,0.141,0.308
2016,Tallapoosa County,05000US01123,0.143,0.322
2016,"Tuscaloosa County, AL",05000US01125,0.105,0.282
2015,"Tuscaloosa County, AL",05000US01125,0.107,0.279
2015,Walker County,05000US01127,0.150,0.358
2016,Walker County,05000US01127,0.130,0.338
2016,Washington County,05000US01129,0.138,0.333
2015,Washington County,05000US01129,0.147,0.309
2016,Wilcox County,05000US01131,0.205,0.323
2015,Wilcox County,05000US01131,0.198,0.316
2015,Winston County,05000US01133,0.128,0.333
2016,Winston County,05000US01133,0.128,0.306
2015,Aleutians East Borough,05000US02013,0.071,0.286
2016,Aleutians East Borough,05000US02013,0.100,0.290
2015,Aleutians West Census Area,05000US02016,0.065,0.220
2016,Aleutians West Census Area,05000US02016,0.087,0.239
2015,"Anchorage Municipality, AK",05000US02020,0.070,0.180
2016,"Anchorage Municipality, AK",05000US02020,0.071,0.182
2015,Bethel Census Area,05000US02050,0.059,0.292
2016,Bethel Census Area,05000US02050,0.125,0.267
2015,Bristol Bay Borough,05000US02060,0.088,0.213
2016,Bristol Bay Borough,05000US02060,0.094,0.229
2016,Denali Borough,05000US02068,0.074,0.176
2015,Denali Borough,05000US02068,0.063,0.169
2016,Dillingham Census Area,05000US02070,0.123,0.255
2015,Dillingham Census Area,05000US02070,0.079,0.273
2016,"Fairbanks North Star Borough, AK",05000US02090,0.058,0.197
2015,"Fairbanks North Star Borough, AK",05000US02090,0.057,0.202
2015,Haines Borough,05000US02100,0.082,0.191
2016,Haines Borough,05000US02100,0.097,0.198
2016,Juneau City and Borough,05000US02110,0.071,0.163
2015,Juneau City and Borough,05000US02110,0.066,0.158
2015,Kenai Peninsula Borough,05000US02122,0.066,0.217
2016,Kenai Peninsula Borough,05000US02122,0.080,0.237
2015,Ketchikan Gateway Borough,05000US02130,0.076,0.207
2016,Ketchikan Gateway Borough,05000US02130,0.086,0.217
2016,Kodiak Island Borough,05000US02150,0.077,0.199
2015,Kodiak Island Borough,05000US02150,0.063,0.212
2016,Lake and Peninsula Borough,05000US02164,0.121,0.233
2015,Lake and Peninsula Borough,05000US02164,0.082,0.249
2015,Matanuska-Susitna Borough,05000US02170,0.078,0.223
2016,Matanuska-Susitna Borough,05000US02170,0.074,0.218
2015,Nome Census Area,05000US02180,0.073,0.252
2016,Nome Census Area,05000US02180,0.125,0.269
2016,North Slope Borough,05000US02185,0.089,0.253
2015,North Slope Borough,05000US02185,0.074,0.255
2016,Northwest Arctic Borough,05000US02188,0.118,0.263
2015,Northwest Arctic Borough,05000US02188,0.068,0.268
2015,None,05000US02201,0.074,0.260
2016,None,05000US02201,0.114,0.290
2015,Sitka City and Borough,05000US02220,0.075,0.172
2016,Sitka City and Borough,05000US02220,0.082,0.173
2016,None,05000US02232,0.107,0.200
2015,None,05000US02232,0.080,0.205
2015,Southeast Fairbanks Census Area,05000US02240,0.067,0.200
2016,Southeast Fairbanks Census Area,05000US02240,0.088,0.209
2016,Valdez-Cordova Census Area,05000US02261,0.083,0.231
2015,Valdez-Cordova Census Area,05000US02261,0.061,0.242
2015,Wade Hampton Census Area,05000US02270,0.059,0.279
2016,Wade Hampton Census Area,05000US02270,0.139,0.276
2016,None,05000US02280,0.093,0.208
2015,None,05000US02280,0.080,0.200
2016,Yakutat City and Borough,05000US02282,0.102,0.247
2015,Yakutat City and Borough,05000US02282,0.078,0.241
2015,Yukon-Koyukuk Census Area,05000US02290,0.078,0.256
2016,Yukon-Koyukuk Census Area,05000US02290,0.149,0.252
2016,Apache County,05000US04001,0.166,0.218
2015,Apache County,05000US04001,0.151,0.223
2015,"Cochise County, AZ",05000US04003,0.096,0.214
2016,"Cochise County, AZ",05000US04003,0.110,0.230
2016,"Coconino County, AZ",05000US04005,0.088,0.163
2015,"Coconino County, AZ",05000US04005,0.074,0.159
2016,Gila County,05000US04007,0.124,0.258
2015,Gila County,05000US04007,0.123,0.252
2015,Graham County,05000US04009,0.105,0.242
2016,Graham County,05000US04009,0.105,0.234
2016,Greenlee County,05000US04011,0.103,0.242
2015,Greenlee County,05000US04011,0.094,0.245
2016,La Paz County,05000US04012,0.148,0.303
2015,La Paz County,05000US04012,0.134,0.307
2016,"Maricopa County, AZ",05000US04013,0.089,0.196
2015,"Maricopa County, AZ",05000US04013,0.082,0.196
2016,"Mohave County, AZ",05000US04015,0.122,0.317
2015,"Mohave County, AZ",05000US04015,0.116,0.307
2016,"Navajo County, AZ",05000US04017,0.138,0.241
2015,"Navajo County, AZ",05000US04017,0.123,0.239
2015,"Pima County, AZ",05000US04019,0.085,0.189
2016,"Pima County, AZ",05000US04019,0.094,0.181
2016,"Pinal County, AZ",05000US04021,0.106,0.261
2015,"Pinal County, AZ",05000US04021,0.116,0.236
2016,Santa Cruz County,05000US04023,0.141,0.189
2015,Santa Cruz County,05000US04023,0.067,0.178
2015,"Yavapai County, AZ",05000US04025,0.101,0.196
2016,"Yavapai County, AZ",05000US04025,0.104,0.202
2016,"Yuma County, AZ",05000US04027,0.124,0.276
2015,"Yuma County, AZ",05000US04027,0.102,0.251
2016,Arkansas County,05000US05001,0.130,0.371
2015,Arkansas County,05000US05001,0.139,0.354
2016,Ashley County,05000US05003,0.143,0.337
2015,Ashley County,05000US05003,0.134,0.333
2016,Baxter County,05000US05005,0.141,0.316
2015,Baxter County,05000US05005,0.122,0.298
2015,"Benton County, AR",05000US05007,0.094,0.246
2016,"Benton County, AR",05000US05007,0.094,0.248
2015,Boone County,05000US05009,0.119,0.310
2016,Boone County,05000US05009,0.115,0.328
2016,Bradley County,05000US05011,0.159,0.367
2015,Bradley County,05000US05011,0.134,0.346
2015,Calhoun County,05000US05013,0.127,0.352
2016,Calhoun County,05000US05013,0.138,0.357
2016,Carroll County,05000US05015,0.129,0.330
2015,Carroll County,05000US05015,0.113,0.295
2016,Chicot County,05000US05017,0.182,0.380
2015,Chicot County,05000US05017,0.163,0.359
2015,Clark County,05000US05019,0.119,0.305
2016,Clark County,05000US05019,0.112,0.318
2015,Clay County,05000US05021,0.117,0.364
2016,Clay County,05000US05021,0.124,0.403
2016,Cleburne County,05000US05023,0.127,0.389
2015,Cleburne County,05000US05023,0.146,0.332
2015,Cleveland County,05000US05025,0.142,0.302
2016,Cleveland County,05000US05025,0.117,0.320
2015,Columbia County,05000US05027,0.130,0.313
2016,Columbia County,05000US05027,0.132,0.345
2016,Conway County,05000US05029,0.127,0.326
2015,Conway County,05000US05029,0.133,0.331
2016,"Craighead County, AR",05000US05031,0.101,0.338
2015,"Craighead County, AR",05000US05031,0.119,0.336
2015,Crawford County,05000US05033,0.107,0.325
2016,Crawford County,05000US05033,0.111,0.328
2016,Crittenden County,05000US05035,0.139,0.344
2015,Crittenden County,05000US05035,0.155,0.336
2016,Cross County,05000US05037,0.134,0.355
2015,Cross County,05000US05037,0.125,0.356
2016,Dallas County,05000US05039,0.156,0.375
2015,Dallas County,05000US05039,0.139,0.374
2016,Desha County,05000US05041,0.169,0.349
2015,Desha County,05000US05041,0.146,0.339
2015,Drew County,05000US05043,0.134,0.320
2016,Drew County,05000US05043,0.135,0.318
2016,"Faulkner County, AR",05000US05045,0.090,0.303
2015,"Faulkner County, AR",05000US05045,0.106,0.289
2016,Franklin County,05000US05047,0.119,0.334
2015,Franklin County,05000US05047,0.123,0.316
2016,Fulton County,05000US05049,0.136,0.329
2015,Fulton County,05000US05049,0.134,0.339
2016,Garland County,05000US05051,0.127,0.284
2015,Garland County,05000US05051,0.125,0.265
2015,Grant County,05000US05053,0.109,0.321
2016,Grant County,05000US05053,0.101,0.327
2016,Greene County,05000US05055,0.104,0.386
2015,Greene County,05000US05055,0.139,0.353
2015,Hempstead County,05000US05057,0.144,0.324
2016,Hempstead County,05000US05057,0.149,0.355
2015,Hot Spring County,05000US05059,0.119,0.387
2016,Hot Spring County,05000US05059,0.112,0.374
2016,Howard County,05000US05061,0.144,0.337
2015,Howard County,05000US05061,0.127,0.344
2015,Independence County,05000US05063,0.118,0.366
2016,Independence County,05000US05063,0.116,0.365
2015,Izard County,05000US05065,0.118,0.335
2016,Izard County,05000US05065,0.138,0.347
2015,Jackson County,05000US05067,0.138,0.385
2016,Jackson County,05000US05067,0.127,0.390
2015,Jefferson County,05000US05069,0.155,0.368
2016,Jefferson County,05000US05069,0.158,0.364
2016,Johnson County,05000US05071,0.120,0.371
2015,Johnson County,05000US05071,0.121,0.350
2015,Lafayette County,05000US05073,0.144,0.335
2016,Lafayette County,05000US05073,0.160,0.350
2016,Lawrence County,05000US05075,0.122,0.377
2015,Lawrence County,05000US05075,0.121,0.313
2015,Lee County,05000US05077,0.126,0.336
2016,Lee County,05000US05077,0.167,0.354
2016,Lincoln County,05000US05079,0.125,0.373
2015,Lincoln County,05000US05079,0.113,0.338
2015,Little River County,05000US05081,0.132,0.338
2016,Little River County,05000US05081,0.131,0.332
2016,Logan County,05000US05083,0.121,0.361
2015,Logan County,05000US05083,0.131,0.366
2015,Lonoke County,05000US05085,0.117,0.272
2016,Lonoke County,05000US05085,0.095,0.304
2016,Madison County,05000US05087,0.125,0.327
2015,Madison County,05000US05087,0.130,0.318
2015,Marion County,05000US05089,0.133,0.297
2016,Marion County,05000US05089,0.143,0.329
2016,Miller County,05000US05091,0.122,0.329
2015,Miller County,05000US05091,0.118,0.336
2015,Mississippi County,05000US05093,0.129,0.427
2016,Mississippi County,05000US05093,0.142,0.404
2016,Monroe County,05000US05095,0.175,0.376
2015,Monroe County,05000US05095,0.149,0.377
2015,Montgomery County,05000US05097,0.120,0.289
2016,Montgomery County,05000US05097,0.141,0.322
2015,Nevada County,05000US05099,0.145,0.338
2016,Nevada County,05000US05099,0.169,0.343
2016,Newton County,05000US05101,0.139,0.363
2015,Newton County,05000US05101,0.124,0.372
2015,Ouachita County,05000US05103,0.133,0.359
2016,Ouachita County,05000US05103,0.156,0.383
2016,Perry County,05000US05105,0.111,0.307
2015,Perry County,05000US05105,0.122,0.319
2016,Phillips County,05000US05107,0.180,0.380
2015,Phillips County,05000US05107,0.166,0.355
2015,Pike County,05000US05109,0.129,0.272
2016,Pike County,05000US05109,0.124,0.323
2016,Poinsett County,05000US05111,0.126,0.350
2015,Poinsett County,05000US05111,0.118,0.330
2015,Polk County,05000US05113,0.123,0.335
2016,Polk County,05000US05113,0.134,0.343
2015,Pope County,05000US05115,0.110,0.276
2016,Pope County,05000US05115,0.101,0.283
2015,Prairie County,05000US05117,0.129,0.343
2016,Prairie County,05000US05117,0.138,0.353
2015,"Pulaski County, AR",05000US05119,0.108,0.273
2016,"Pulaski County, AR",05000US05119,0.122,0.275
2016,Randolph County,05000US05121,0.119,0.398
2015,Randolph County,05000US05121,0.125,0.351
2015,St. Francis County,05000US05123,0.133,0.366
2016,St. Francis County,05000US05123,0.164,0.364
2015,"Saline County, AR",05000US05125,0.109,0.273
2016,"Saline County, AR",05000US05125,0.102,0.306
2015,Scott County,05000US05127,0.122,0.311
2016,Scott County,05000US05127,0.126,0.311
2016,Searcy County,05000US05129,0.139,0.334
2015,Searcy County,05000US05129,0.123,0.324
2015,"Sebastian County, AR",05000US05131,0.128,0.336
2016,"Sebastian County, AR",05000US05131,0.114,0.311
2016,Sevier County,05000US05133,0.133,0.332
2015,Sevier County,05000US05133,0.129,0.317
2016,Sharp County,05000US05135,0.143,0.292
2015,Sharp County,05000US05135,0.127,0.303
2015,Stone County,05000US05137,0.145,0.310
2016,Stone County,05000US05137,0.143,0.319
2016,Union County,05000US05139,0.134,0.391
2015,Union County,05000US05139,0.127,0.358
2016,Van Buren County,05000US05141,0.141,0.337
2015,Van Buren County,05000US05141,0.140,0.283
2015,"Washington County, AR",05000US05143,0.080,0.241
2016,"Washington County, AR",05000US05143,0.093,0.259
2016,White County,05000US05145,0.102,0.295
2015,White County,05000US05145,0.106,0.280
2016,Woodruff County,05000US05147,0.162,0.329
2015,Woodruff County,05000US05147,0.144,0.338
2015,Yell County,05000US05149,0.122,0.344
2016,Yell County,05000US05149,0.121,0.367
2015,"Alameda County, CA",05000US06001,0.077,0.150
2016,"Alameda County, CA",05000US06001,0.091,0.147
2015,Alpine County,05000US06003,0.101,0.177
2016,Alpine County,05000US06003,0.121,0.175
2015,Amador County,05000US06005,0.101,0.172
2016,Amador County,05000US06005,0.104,0.171
2015,"Butte County, CA",05000US06007,0.095,0.169
2016,"Butte County, CA",05000US06007,0.095,0.176
2016,Calaveras County,05000US06009,0.105,0.174
2015,Calaveras County,05000US06009,0.100,0.176
2016,Colusa County,05000US06011,0.112,0.163
2015,Colusa County,05000US06011,0.083,0.159
2015,"Contra Costa County, CA",05000US06013,0.083,0.165
2016,"Contra Costa County, CA",05000US06013,0.091,0.166
2016,Del Norte County,05000US06015,0.105,0.181
2015,Del Norte County,05000US06015,0.087,0.181
2015,"El Dorado County, CA",05000US06017,0.080,0.144
2016,"El Dorado County, CA",05000US06017,0.089,0.145
2015,"Fresno County, CA",05000US06019,0.090,0.183
2016,"Fresno County, CA",05000US06019,0.113,0.190
2015,Glenn County,05000US06021,0.084,0.166
2016,Glenn County,05000US06021,0.109,0.167
2015,"Humboldt County, CA",05000US06023,0.083,0.148
2016,"Humboldt County, CA",05000US06023,0.091,0.141
2016,"Imperial County, CA",05000US06025,0.134,0.217
2015,"Imperial County, CA",05000US06025,0.080,0.231
2016,Inyo County,05000US06027,0.108,0.161
2015,Inyo County,05000US06027,0.100,0.152
2015,"Kern County, CA",05000US06029,0.090,0.219
2016,"Kern County, CA",05000US06029,0.104,0.219
2015,"Kings County, CA",05000US06031,0.085,0.185
2016,"Kings County, CA",05000US06031,0.102,0.184
2015,Lake County,05000US06033,0.105,0.216
2016,Lake County,05000US06033,0.119,0.219
2015,Lassen County,05000US06035,0.080,0.165
2016,Lassen County,05000US06035,0.082,0.167
2015,"Los Angeles County, CA",05000US06037,0.080,0.170
2016,"Los Angeles County, CA",05000US06037,0.108,0.173
2016,"Madera County, CA",05000US06039,0.112,0.196
2015,"Madera County, CA",05000US06039,0.089,0.196
2015,"Marin County, CA",05000US06041,0.066,0.107
2016,"Marin County, CA",05000US06041,0.089,0.108
2016,Mariposa County,05000US06043,0.110,0.169
2015,Mariposa County,05000US06043,0.103,0.179
2016,Mendocino County,05000US06045,0.111,0.176
2015,Mendocino County,05000US06045,0.080,0.179
2015,"Merced County, CA",05000US06047,0.083,0.200
2016,"Merced County, CA",05000US06047,0.109,0.208
2016,Modoc County,05000US06049,0.120,0.210
2015,Modoc County,05000US06049,0.092,0.210
2016,Mono County,05000US06051,0.084,0.144
2015,Mono County,05000US06051,0.068,0.134
2016,"Monterey County, CA",05000US06053,0.102,0.168
2015,"Monterey County, CA",05000US06053,0.067,0.162
2015,"Napa County, CA",05000US06055,0.074,0.132
2016,"Napa County, CA",05000US06055,0.094,0.140
2016,"Nevada County, CA",05000US06057,0.098,0.146
2015,"Nevada County, CA",05000US06057,0.068,0.143
2016,"Orange County, CA",05000US06059,0.088,0.154
2015,"Orange County, CA",05000US06059,0.076,0.158
2016,"Placer County, CA",05000US06061,0.084,0.140
2015,"Placer County, CA",05000US06061,0.074,0.144
2015,Plumas County,05000US06063,0.096,0.189
2016,Plumas County,05000US06063,0.116,0.156
2015,"Riverside County, CA",05000US06065,0.096,0.190
2016,"Riverside County, CA",05000US06065,0.102,0.184
2016,"Sacramento County, CA",05000US06067,0.097,0.169
2015,"Sacramento County, CA",05000US06067,0.088,0.167
2016,San Benito County,05000US06069,0.100,0.144
2015,San Benito County,05000US06069,0.072,0.147
2016,"San Bernardino County, CA",05000US06071,0.103,0.186
2015,"San Bernardino County, CA",05000US06071,0.091,0.193
2016,"San Diego County, CA",05000US06073,0.093,0.148
2015,"San Diego County, CA",05000US06073,0.076,0.153
2015,"San Francisco County, CA",05000US06075,0.068,0.148
2016,"San Francisco County, CA",05000US06075,0.084,0.138
2015,"San Joaquin County, CA",05000US06077,0.096,0.212
2016,"San Joaquin County, CA",05000US06077,0.100,0.186
2016,"San Luis Obispo County, CA",05000US06079,0.087,0.151
2015,"San Luis Obispo County, CA",05000US06079,0.069,0.136
2015,"San Mateo County, CA",05000US06081,0.077,0.157
2016,"San Mateo County, CA",05000US06081,0.088,0.156
2016,"Santa Barbara County, CA",05000US06083,0.091,0.147
2015,"Santa Barbara County, CA",05000US06083,0.065,0.139
2016,"Santa Clara County, CA",05000US06085,0.083,0.153
2015,"Santa Clara County, CA",05000US06085,0.075,0.155
2015,"Santa Cruz County, CA",05000US06087,0.064,0.104
2016,"Santa Cruz County, CA",05000US06087,0.087,0.114
2015,"Shasta County, CA",05000US06089,0.105,0.193
2016,"Shasta County, CA",05000US06089,0.098,0.203
2016,Sierra County,05000US06091,0.115,0.167
2015,Sierra County,05000US06091,0.098,0.172
2016,Siskiyou County,05000US06093,0.119,0.195
2015,Siskiyou County,05000US06093,0.087,0.194
2015,"Solano County, CA",05000US06095,0.107,0.204
2016,"Solano County, CA",05000US06095,0.098,0.184
2016,"Sonoma County, CA",05000US06097,0.093,0.132
2015,"Sonoma County, CA",05000US06097,0.064,0.123
2016,"Stanislaus County, CA",05000US06099,0.102,0.183
2015,"Stanislaus County, CA",05000US06099,0.094,0.199
2015,Sutter County,05000US06101,0.088,0.217
2016,Sutter County,05000US06101,0.100,0.220
2015,Tehama County,05000US06103,0.091,0.184
2016,Tehama County,05000US06103,0.107,0.205
2015,Trinity County,05000US06105,0.097,0.187
2016,Trinity County,05000US06105,0.122,0.202
2015,"Tulare County, CA",05000US06107,0.075,0.197
2016,"Tulare County, CA",05000US06107,0.114,0.182
2016,Tuolumne County,05000US06109,0.103,0.161
2015,Tuolumne County,05000US06109,0.096,0.195
2015,"Ventura County, CA",05000US06111,0.070,0.167
